planta,trat,doy,tallo_1,tallo_2,tallo_3,tallo_4,tallo_5,flores,hv,hm,tallo,h_t,pa,c,pac,r,ra,rsum
Trébol balansa,c,194,53.75,49.5,46.25,45.75,44.75,0.0701,0.46335,0.113,1.0938,0.526924483,1.74025,0.1752,1.91545,0.4418,0.0087,0.4505
Trébol balansa,c,194,33.25,32.75,31.25,31,30.5,0,0.68395,0.1457,1.3358,0.621088486,2.16545,0.2924,2.45785,1.06745,0.02035,1.0878
Trébol balansa,c,194,41.25,40.25,38.75,37.75,36.75,0,0.40965,0.1252,0.7964,0.671584631,1.33125,0.1885,1.51975,0.5733,0,0.5733
Lotus tenuis,c,194,35.5,31.25,32,30.5,29.75,0,0.7525,,1.17965,0.637901072,1.93215,0.1954,2.12755,0.3455,0,0.3455
Lotus tenuis,c,194,43.25,37.25,36.25,34.25,31.75,0,0.45405,0.0439,0.75695,0.657837374,1.2549,0.1717,1.4266,0.3748,0,0.3748
Lotus tenuis,c,194,54.25,42.5,40.75,39.25,39.25,0,0.7227,0.0465,1.4761,0.521102906,2.2453,0.1826,2.4279,0.31895,0,0.31895
Lotus tenuis,c,194,36,32.25,32.25,30.5,31.5,0,0.74915,0.0288,1.03125,0.754375758,1.8092,0.2585,2.0677,0.28675,0,0.28675
Lotus tenuis,c,194,42.5,35.75,34.5,33.5,32,0,0.8365,0.0071,1.03335,0.816373929,1.87695,0.284,2.16095,0.3641,0,0.3641
Lotus tenuis,c,194,38.25,36.75,32.25,30,26.75,0,0.64085,0.0562,0.9567,0.728598307,1.65375,0.26085,1.9146,0.2954,0,0.2954
Lotus tenuis,c,194,36.66666667,35.66666667,32.16666667,31.5,29.83333333,0,0.7112,0.01615,1.1145,0.652624495,1.84185,0.2332,2.07505,0.356866667,0,0.356866667
Lotus tenuis,c,194,36.5,36.5,33.5,32.5,31.5,0,0.507066667,0.0154,0.938033333,0.556980918,1.4605,0.180033333,1.640533333,0.349133333,0,0.349133333
Lotus tenuis,c,194,40,29.75,29.5,28.25,29,0,0.5878,0.03305,0.8547,0.726395226,1.47555,0.1864,1.66195,0.31715,0,0.31715
Lotus tenuis,c,194,35,33.33333333,32,31.16666667,30.16666667,0,0.607766667,0.045733333,0.9767,0.669089792,1.6302,0.230366667,1.860566667,0.366533333,0,0.366533333
Lotus tenuis,c,194,41.66666667,34.5,33.33333333,33,31.5,0,0.724366667,0.0305,1.062233333,0.710641102,1.8171,0.212666667,2.029766667,0.395966667,0,0.395966667
Lotus tenuis,c,194,40,40.25,36,33.75,31.5,0,0.4413,0.03495,0.80895,0.588726126,1.2852,0.1304,1.4156,0.25815,0,0.25815
Lotus corniculatus,c,194,54,38,37,32.5,32,0,0.8632,0.0109,1.3188,0.662799515,2.1929,0.2746,2.4675,0.5441,0,0.5441
Lotus corniculatus,c,194,35,34.5,33,32,29,0,0.8186,0,0.9187,0.891041689,1.7373,0.2052,1.9425,0.2657,0,0.2657
Lotus corniculatus,c,194,34,29.5,28.5,27,24,0,0.4758,0,0.4539,1.048248513,0.9297,0.1345,1.0642,0.1734,0,0.1734
Lotus corniculatus,c,194,44.5,33,31,27.5,27,0,1.1478,0.0398,1.1547,1.028492249,2.3423,0.5144,2.8567,0.6934,0,0.6934
Lotus corniculatus,c,194,28.5,24.5,24,24,22.5,0,1.0162,0.104,1.1245,0.996176078,2.2447,0.3419,2.5866,0.5545,0,0.5545
Lotus corniculatus,c,194,24,22.5,21.5,21,20.5,0,0.5119,0.0656,0.3846,1.501560062,0.9621,0.1299,1.092,0.2228,0,0.2228
Lotus corniculatus,c,194,41.5,39.5,34.5,31.5,29,0,0.9232,0.0638,0.9447,1.044776119,1.9317,0.4348,2.3665,0.5727,0,0.5727
Lotus corniculatus,c,194,31,30.5,29,29,28,0,1.4718,0.0829,1.2138,1.280853518,2.7685,0.5006,3.2691,0.4484,0,0.4484
Lotus corniculatus,c,194,22,22,21,21,21,0,1.2873,0.0651,1.2475,1.084088176,2.5999,0.3444,2.9443,0.4823,0,0.4823
Lotus corniculatus,c,194,38,29,28,28,28,0,0.7403,0.0416,0.6044,1.293679682,1.3863,0.1967,1.583,0.3006,0,0.3006
Trébol frutilla,a,194,57.75,56.25,55,54,50.75,0,0.8848,0,1.5377,0.575404825,2.4225,0.16625,2.58875,0.27665,0.0362,0.31285
Trébol frutilla,a,194,51.75,51.25,49,48,46.5,0,0.5911,0.04315,1.29845,0.488467018,1.9327,0.1989,2.1316,0.335,0,0.335
Trébol frutilla,a,194,66.5,64,57,55.25,50.75,0,0.5566,0.11415,1.60085,0.418996158,2.2716,0.25435,2.52595,0.3371,0,0.3371
Trébol frutilla,a,194,48.75,46.75,46,44,42.75,0,1.00975,0.0619,1.77085,0.605161363,2.8425,0.55795,3.40045,0.6581,0,0.6581
Trébol frutilla,a,194,76.75,76,71.75,66,61.75,0,1.2296,0,2.29345,0.536135516,3.52305,0.32445,3.8475,0.5728,0,0.5728
Trébol frutilla,a,194,67.75,65.5,64.5,64,61.25,0,0.88365,0.0281,1.7455,0.522343168,2.65725,0.2429,2.90015,0.48105,0,0.48105
Trébol frutilla,a,194,81.25,79.5,79,76.75,76.25,0,0.9505,0.092,2.0529,0.507818208,3.0954,0.1828,3.2782,0.56935,0,0.56935
Trébol frutilla,a,194,61.75,60,59,58.25,57.25,0,0.68665,0.0719,1.7084,0.444011941,2.46695,0.2292,2.69615,0.36185,0.0654,0.42725
Trébol frutilla,a,194,49.5,45.5,44.75,43.75,42.75,0,0.52225,0,1.0571,0.494040299,1.57935,0.2165,1.79585,0.3313,0,0.3313
Trébol frutilla,a,194,53,50,49,47,46.75,0,0.90335,0,1.6865,0.535635932,2.58985,0.18885,2.7787,0.4432,0,0.4432
Trébol frutilla,a,194,64,62.25,59.25,55.5,49.5,0,1.0448,0,1.82265,0.573231284,2.86745,0.25315,3.1206,0.46635,0.1754,0.64175
Trébol frutilla,a,194,54,52.25,50.25,49.5,49,0,1.0783,0,1.71495,0.628764687,2.79325,0.23485,3.0281,0.61345,0,0.61345
Trébol blanco,a,194,45.25,48.25,47,46.25,45.5,0.1393,0.99475,0.2378,2.434,0.506388661,3.80585,0.6835,4.48935,0.484,0.30785,0.79185
Trébol blanco,a,194,51.5,52,53.5,47.5,46,0.0184,1.43405,0.58825,3.1183,0.648526441,5.159,0.4363,5.5953,0.6179,0.2546,0.8725
Trébol blanco,a,194,33.75,32.5,32.75,31,30.5,0,0.831,0.23945,1.2308,0.869718882,2.30125,0.27355,2.5748,0.25245,0.1694,0.42185
Trébol blanco,a,194,36.75,37.25,34.75,31.5,29.75,0,0.4588,0.15965,0.9843,0.628314538,1.60275,0.1677,1.77045,0.1836,0.1034,0.287
Trébol blanco,a,194,41,42.5,38.75,36.25,35.5,0,0.29355,0.13695,0.80485,0.534882276,1.23535,0.2215,1.45685,0.3074,0.1126,0.42
Trébol blanco,a,194,41,41,39,38,37,0,1.9613,0.2165,2.38265,0.914024301,4.56045,0.46425,5.0247,0.55225,0.28945,0.8417
Trébol blanco,a,194,40.75,38.5,37.25,37,37,0,0.95495,0.1777,1.3859,0.817266758,2.51855,0.2014,2.71995,0.21915,0.1585,0.37765
Trébol blanco,a,194,40.5,43,39.5,39.5,39,0.0118,0.3219,0.197,0.9745,0.532478194,1.5052,0.17405,1.67925,0.3073,0.13455,0.44185
Trébol blanco,a,194,50.5,48.25,45.75,44,42.75,0.004,0.89505,0.20375,1.6757,0.655725965,2.7785,0.13095,2.90945,0.34475,0.2065,0.55125
Trébol blanco,a,194,43.5,41,41.5,41.25,39,0.0045,0.91025,0.418,1.89455,0.701089969,3.2273,0.28955,3.51685,0.46615,0.2047,0.67085
Trébol blanco,a,194,46,43.5,41.25,38.5,38,0,0.75325,0.2901,1.47805,0.705896282,2.5214,0.2359,2.7573,0.32645,0.1477,0.47415
Trébol blanco,a,194,44,38.75,39.75,36.5,35.5,0,0.1943,0.01275,0.49315,0.419851972,0.7002,0.0853,0.7855,0.23755,0.0438,0.28135
Trébol blanco,a,194,45,41.25,42,42,39.5,0.0156,0.9047,0.0945,1.67935,0.59499211,2.69415,0.2728,2.96695,0.47095,0.22065,0.6916
Trébol balansa,a,194,39,37,36.25,35.75,34.75,0,0.47725,0.09275,0.8139,0.700331736,1.3839,0.11685,1.50075,0.4865,0.00585,0.49235
Trébol balansa,a,194,53.25,50.25,49.5,46.25,43.25,0.01765,0.49985,0.06755,0.8141,0.696965975,1.39915,0.1056,1.50475,0.40265,0,0.40265
Trébol balansa,a,194,34.75,34.25,34.25,34,32,0,0.76785,0.1573,1.38715,0.666943013,2.3123,0.1416,2.4539,0.56485,0,0.56485
Trébol balansa,a,194,58.5,59,55.5,54,50.5,0,0.7236,0.12975,1.5759,0.541500095,2.42925,0.12935,2.5586,0.86735,0,0.86735
Trébol balansa,a,194,48,46.5,45.75,44,43.25,0,0.80445,0.1427,1.30005,0.728548902,2.2472,0.128,2.3752,0.5232,0,0.5232
Trébol balansa,a,194,53,47.75,43.25,43.5,39.5,0,0.83415,0.11955,1.4888,0.64058302,2.4425,0.0751,2.5176,0.4035,0,0.4035
Trébol balansa,a,194,30.5,29,27,26.5,24.75,0,0.74005,0.23805,1.2342,0.792497164,2.2123,0.20085,2.41315,1.30835,0,1.30835
Trébol balansa,a,194,48.5,47.25,44,43.75,43,0,0.6963,0.1549,1.20125,0.708595213,2.05245,0.20665,2.2591,0.78545,0,0.78545
Trébol balansa,a,194,49.75,49,44.75,43.5,41.75,0,0.5933,0.03965,0.9239,0.685084966,1.55685,0.12605,1.6829,0.46975,0,0.46975
Trébol balansa,a,194,66,64.75,64,63,61.25,0,0.6169,0.20775,1.7087,0.482618365,2.53335,0.16685,2.7002,1.00155,0,1.00155
Trébol balansa,a,194,39.25,38.75,36.5,34.75,34,0,0.57625,0.1054,0.94995,0.717564082,1.6316,0.16845,1.80005,0.5472,0,0.5472
Trébol balansa,a,194,41,39.5,35.75,35.25,33.75,0,0.7427,0.0703,1.1297,0.719660087,1.9427,0.20835,2.15105,0.67695,0,0.67695
Lotus tenuis,a,194,55,46,43.75,42.5,38.5,0,0.73585,0.00875,0.9847,0.756169392,1.7293,0.1638,1.8931,0.3205,0,0.3205
Lotus tenuis,a,194,53.75,46.75,43.25,42.5,42.25,0,1.1703,0.0053,1.0845,1.084001844,2.2601,0.2703,2.5304,0.5616,0,0.5616
Lotus tenuis,a,194,39,34.5,32.5,33.75,32.25,0,0.4897,0.0081,0.55655,0.894438954,1.05435,0.13355,1.1879,0.2678,0,0.2678
Lotus tenuis,a,194,39.5,36.5,35.25,32.75,32.5,0,0.94985,0.0528,1.0801,0.928293677,2.08275,0.25055,2.3333,0.4573,0,0.4573
Lotus tenuis,a,194,58.75,54,49.75,45.5,41.75,0,0.51245,0.07365,1.02265,0.573118858,1.60875,0.1442,1.75295,0.30165,0,0.30165
Lotus tenuis,a,194,45,45.75,42,38,39.25,0,0.8665,0.0476,1.0588,0.863335852,1.9729,0.2179,2.1908,0.3949,0,0.3949
Lotus tenuis,a,194,41.5,39.75,38.25,37.25,35.25,0,0.76365,0.03025,1.15335,0.688342654,1.94725,0.17635,2.1236,0.4014,0,0.4014
Lotus tenuis,a,194,42,41.75,41.75,38.75,36.75,0,0.6837,0.0627,1.0307,0.724168041,1.7771,0.1571,1.9342,0.35435,0,0.35435
